ORF,Ara+2_R_seg1,Ara+2_R_seg2,Ara+2_R_seg3,Ara+2_R_seg4,Ara+2_R_seg5,Ara+2_2K_seg1,Ara+2_2K_seg2,Ara+2_2K_seg3,Ara+2_2K_seg4,Ara+2_2K_seg5,Ara+2_15K_seg1,Ara+2_15K_seg2,Ara+2_15K_seg3,Ara+2_15K_seg4,Ara+2_15K_seg5,Ara-1_R_seg1,Ara-1_R_seg2,Ara-1_R_seg3,Ara-1_2K_seg1,Ara-1_2K_seg2,Ara-1_2K_seg3,Ara-1_15K_seg1,Ara-1_15K_seg2,Ara-1_15K_seg3
ECB_00814,-0.0036598100202459,-0.0057975564892041,,0.0095468954346979,,-0.0029391978845057,-0.0022823210980732,,0.0007972875189988,0.0196387464838775,0.0058984917035559,-0.0055319727177952,-0.0203558506999766,0.0388939064075309,0.0122364079798006,-0.0483898945660498,0.0142447127793124,,-0.0320940507050441,-0.0065832521022929,,0.0007041773919238,0.0058930826564493,0.0054379191229423
ECB_00815,0.0041633290571396,-0.0055732420234556,-0.0088793258024648,-0.0059236156404896,-0.0070644415937685,0.0144262357255026,0.0041450449733798,0.0196956008437533,-0.0070959327853253,-0.011298310616864,-0.0082961112001882,-0.0023936758011595,-0.0142486511040514,0.0013278467075796,0.005636637296481,0.0014690793078881,-0.0027870002240476,0.0100806863066852,-0.0087526269011815,0.0047734026071852,-0.0071544650814389,,0.0055856685262928,-0.0033765505029631
ECB_00816,0.0988133425945887,,-0.0136678662189336,,,,,,,,-0.0538301225793469,,,,,,,,,,,0.0061893256410284,0.0166742720255438,
ECB_00817,0.0303008069501573,,,,,-0.0077734825512938,,,-0.0609649756357281,,-0.0067880079707884,,,0.035846097271428,,-0.0241537881997889,,,,,,,,
ECB_00818,0.0001155874585685,-0.0014028274364973,,0.0047524872933609,,-0.0356951481857183,0.012804852358139,,-0.0175280002120437,0.0388435893349593,0.0050436155072823,-0.0032635941482723,,,,0.0084664729984664,,0.0059451378489838,0.0048575046044643,0.0176245855878034,,0.0452643632949271,0.0013216656311034,
ECB_00820,0.0034177311618595,0.0069857088148329,0.0118957143547945,-0.0189565882654507,,-0.0050031694164325,,0.042248970143672,0.0050127253785037,,0.0001637638121017,,,0.0141726556435963,,0.0047285555559289,,,-0.0114068586730162,-0.019887906585653,-0.0066478435047201,-0.0001082501688296,,-0.0266350196057999
ECB_00821,-0.0145555410142386,,-0.036546118416167,,0.002399143670408,-0.0295055273831112,,-0.0433954537605301,-0.0503077974242602,,0.0065823050332057,,,,,0.0094522206528503,,,-0.0018226073942833,,,-0.0039776677380648,0.023972485361285,
ECB_00822,-0.0183998300578213,-0.0258580485533243,-0.0091103331621814,-0.0227614417942463,,-0.0045876684222898,-0.0089135659568234,,-0.0554625183465018,,0.0347595962019755,-0.0375214374180661,-0.0071824374685396,-0.0091340165833333,,,,,0.015298390382652,,,0.0001742988136537,,
ECB_00823,0.0120046005102794,,,,0.0198709256534393,0.0115826944437709,,,-0.0580026242140492,-0.0125300436736963,0.0255352001890839,,,-0.0272773613889663,-0.0167566684361999,-0.0306095118515088,,,,,,,,
ECB_00825,0.0077360919806709,-0.0009183111340926,0.0025782025522242,-0.0030920536319075,-0.0021698770485172,-0.0025087252338974,-0.0099890226153819,0.0082738347765043,0.0038652416102739,0.0137438236253893,-0.0016744699098117,0.0046714295819663,-0.0015399807141749,-0.0016719068158525,-0.0038408969386641,-0.0082089202345105,-0.0059811797911683,-0.003689197849061,0.0168428951487094,-0.007697123605871,-0.0106999723004308,0.00243290455261,0.0034326439305645,-0.0137193794863597
